Samplenumber,Setname,Sampletype,Replicate,Species,Standard Length,Body Mass,Ad-Clipped,Site,Latitude,Longitude,Tow/Load,Collection Date,Samplewt,Calcbasis,Lipidiatro Sale Format,Lipidiatro Tg Format,Lipidiatro Ffa Format,Lipidiatro Chol Format,Lipidiatro Pl Format,Cb103 Recovery Format,Hcb Conc Format,Ahch Conc Format,Bhch Conc Format,Lindane Conc Format,Achlor Conc Format,Cnona Conc Format,Bchlor Conc Format,Hept Conc Format,Hpe Conc Format,Nona3 Conc Format,Oxychlor Conc Format,Tnona Conc Format,Aldrin Conc Format,Diel Conc Format,Mirex Conc Format,Eslf1 Conc Format,Cb17 Conc Format,Cb18 Conc Format,Cb28 Conc Format,Cb31 Conc Format,Cb33 Conc Format,Cb44 Conc Format,Cb49 Conc Format,Cb52 Conc Format,Cb66 Conc Format,Cb70 Conc Format,Cb74 Conc Format,Cb82 Conc Format,Cb87 Conc Format,Cb95 Conc Format,Cb99 Conc Format,Cb101 Conc Format,Cb105 Conc Format,Cb110 Conc Format,Cb118 Conc Format,Cb128 Conc Format,Cb138 Conc Format,Cb149 Conc Format,Cb151 Conc Format,Cb153 Conc Format,Cb156 Conc Format,Cb158 Conc Format,Cb170 Conc Format,Cb171 Conc Format,Cb177 Conc Format,Cb180 Conc Format,Cb183 Conc Format,Cb187 Conc Format,Cb191 Conc Format,Cb194 Conc Format,Cb195 Conc Format,Cb199 Conc Format,Cb205 Conc Format,Cb206 Conc Format,Cb208 Conc Format,Cb209 Conc Format,Opddd Conc Format,Opdde Conc Format,Opddt Conc Format,Ppddd Conc Format,Ppdde Conc Format,Ppddt Conc Format,Sum Chlds Conc Format,Sum Ddts Conc Format,Sum Hchs Conc Format,Sum40cbs Conc Format,Bde28 Conc Format,Bde47 Conc Format,Bde49 Conc Format,Bde66 Conc Format,Bde85 Conc Format,Bde99 Conc Format,Bde100 Conc Format,Br5de04 Conc Format,Br5de05 Conc Format,Bde153 Conc Format,Bde154 Conc Format,Br6de01 Conc Format,Bde155 Conc Format,Bde183 Conc Format,Br7de01 Conc Format,Sumbde Conc Format,Samplenote,Record Number,Accessed Date,Source Url,Preferred Citation
112-1256,PS1884,Tissue - whole body,,Chum salmon,92,7.9,No check,Tatoosh Island,48.3931168,-124.7380236,Load 85 #3,2004-07-23 00:00:00,2.003,wet,3.37954931406846,0,46.4546040541592,24.0217683635869,26.1440782681853,107.00458286689,< 0.14,< 0.15,< 0.15,< 0.14,< 0.14,< 0.14,< 0.15,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,0.066,0.15,0.19,0.19,0.15,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.035,< 0.14,0.12,< 0.14,0.15,0.072,0.15,0.17,< 0.14,0.19,< 0.14,< 0.14,< 0.21,< 0.036,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.11,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,0.21,< 0.14,< LOQ,0.21,< LOQ,1.6,< 0.38,< 0.38,< 0.38,< 0.38,< 0.38,< 0.38,< 0.38,< 0.38,< 0.38,< 0.38,< 0.38,< 0.38,< 0.38,< 0.38,< 0.38,< LOQ,,Row 11 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1257,PS1884,SRM 1947,,,,,,,,,,,1.006,wet,0,99.6206255806751,0,0,.37937441932487,111.371068708219,4.7,0.87,< 0.21,0.24,39,52,10,< 0.20,8.6,7.3,16,100,< 0.20,54,4.1,< 0.20,0.47,1.8,12,6.4,0.49,14,19,28,52,43,23,2.6,24,26,55,70,44,69,91,30,180,58,15,190,12,11,24,7.6,19,68,19,52,1.2,12,3.6,16,0.71,5.5,2.8,1.9,3.1,2.9,14,41,690,54,240,810,1.1,1300,2.4,65,5.8,1.9,< 0.53,20,18,< 0.53,< 0.53,3.7,6,< 0.53,0.65,< 0.54,< 0.54,120,,Row 12 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1258,PS1884,Method Blank,,,,,,,,,,,2.0033,wet,0,0,0,0,0,99.3173027088718,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,0.039,< 0.12,< 0.12,0.094,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.030,< 0.12,< 0.060,< 0.12,< 0.12,0.035,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.18,< 0.030,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.090,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< LOQ,< LOQ,< LOQ,0.17,< 0.32,< 0.32,< 0.32,< 0.32,< 0.32,< 0.32,< 0.32,< 0.32,< 0.32,< 0.32,< 0.32,< 0.32,< 0.32,< 0.32,< 0.32,< LOQ,,Row 13 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1286,PS1953,Tissue - whole body,,Chum salmon,100,10,No,Possession Sound,48.0112064,-122.2415269,Random Tow,2005-07-12 00:00:00,2.021,wet,1.36055083409164,0,37.8999588975134,43.201040825397,17.5384494429978,110.674864162012,< 0.13,< 0.14,< 0.14,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,0.045,< 0.13,0.15,0.21,< 0.13,< 0.13,< 0.13,0.16,< 0.13,0.16,< 0.13,0.039,0.19,0.24,0.31,0.5,0.17,0.43,0.46,< 0.13,1,0.51,0.15,1.2,< 0.033,< 0.13,< 0.13,< 0.13,< 0.13,0.26,< 0.13,0.29,< 0.13,< 0.13,< 0.13,< 0.099,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,0.62,< 0.13,< LOQ,0.62,< LOQ,6.6,< 0.31,1.3,< 0.31,< 0.31,< 0.31,0.9,0.34,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,2.5,,Row 14 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1287,PS1953,Tissue - whole body,,Chum salmon,90,8.3,No,Possession Sound,48.0112064,-122.2415269,Random Tow,2005-07-12 00:00:00,2.022,wet,.76217331412443,0,43.8928040583284,33.3829137275635,21.9621088999835,111.015784540329,< 0.13,< 0.14,< 0.14,< 0.13,< 0.13,< 0.13,< 0.14,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,0.042,< 0.13,0.15,0.2,< 0.13,< 0.13,< 0.13,0.14,< 0.13,0.14,< 0.13,< 0.033,0.15,0.17,0.19,0.33,0.13,0.31,0.34,< 0.13,0.67,0.32,< 0.13,0.77,< 0.033,< 0.13,< 0.13,< 0.13,< 0.13,0.17,< 0.13,0.18,< 0.13,< 0.13,< 0.13,< 0.10,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,0.39,< 0.13,< LOQ,0.39,< LOQ,4.4,< 0.31,0.41,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,< 0.31,0.41,,Row 15 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1288,PS1953,Tissue - whole body,,Chum salmon,113,13.9,No,Possession Sound,48.0112064,-122.2415269,Random Tow,2005-07-12 00:00:00,2.03,wet,0,0,49.1935641908155,33.9180738798892,16.8883619292952,106.821549677597,< 0.12,< 0.13,< 0.13,< 0.12,< 0.12,< 0.13,< 0.13,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,0.047,< 0.12,0.16,0.22,< 0.12,< 0.12,< 0.12,0.15,< 0.12,0.16,< 0.12,< 0.031,0.14,0.2,0.23,0.36,0.14,0.3,0.4,< 0.13,0.72,0.33,< 0.13,0.9,< 0.031,< 0.12,< 0.12,< 0.12,< 0.12,0.21,< 0.12,0.18,< 0.12,< 0.12,< 0.12,< 0.093,< 0.12,< 0.13,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,0.65,< 0.12,< LOQ,0.65,< LOQ,4.9,< 0.29,0.54,< 0.29,< 0.29,< 0.29,0.4,< 0.29,< 0.29,< 0.29,< 0.29,< 0.29,< 0.29,< 0.29,< 0.29,< 0.29,0.93,,Row 16 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1289,PS1953,Tissue - whole body,,Pacific herring,107,13.3,,Strawberry Point,48.32056,-122.51254,Tow #90,2005-07-14 00:00:00,2.036,wet,0,48.6213272574324,17.7204842812637,6.52419095872879,27.133997502575,105.295437137762,0.39,0.26,0.16,< 0.14,0.15,0.15,< 0.15,< 0.14,< 0.14,< 0.14,< 0.14,0.33,< 0.14,0.24,< 0.14,< 0.14,0.051,< 0.14,0.2,0.24,< 0.14,< 0.14,< 0.14,0.38,0.16,0.25,< 0.14,0.079,0.21,0.53,0.83,1.1,0.35,1,0.93,0.29,2.4,1.3,0.38,2.9,< 0.036,0.16,0.2,< 0.14,0.21,0.48,0.23,0.65,< 0.14,< 0.14,< 0.14,< 0.11,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,0.3,2.9,< 0.14,0.63,3.2,0.42,16,< 0.34,2.8,0.9,< 0.34,< 0.34,0.95,0.74,< 0.34,< 0.34,< 0.34,< 0.34,< 0.34,< 0.34,< 0.34,< 0.34,5.3,,Row 17 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1290,PS1953,Tissue - whole body,,Pacific herring,110,16.9,,Strawberry Point,48.32056,-122.51254,Tow #90,2005-07-14 00:00:00,2.029,wet,0,76.8077891167949,4.31396816357181,.98927927913066,17.8889634405025,110.373766787421,1.1,0.82,0.63,< 0.14,0.34,0.18,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,0.43,< 0.14,0.51,< 0.14,< 0.14,0.07,0.19,0.31,0.34,0.18,0.28,0.3,0.58,0.25,0.36,0.18,0.12,0.36,0.84,0.73,1.3,0.33,1,0.83,0.23,1.9,1.1,0.31,2.4,< 0.035,< 0.14,0.16,< 0.14,0.17,0.36,0.18,0.48,< 0.14,< 0.14,< 0.14,< 0.10,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,< 0.14,0.63,3.7,0.32,0.95,4.7,1.4,16,< 0.33,2.2,0.5,< 0.33,< 0.33,0.8,0.43,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,< 0.33,3.9,,Row 18 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1291,PS1953,Tissue - whole body,,Pacific herring,112,17.2,,Strawberry Point,48.32056,-122.51254,Tow #90,2005-07-14 00:00:00,1.987,wet,1.22207990810661,31.2312497199581,36.5904882994603,14.9439006032406,16.0122814692343,108.765309603504,0.17,< 0.16,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,0.16,< 0.15,< 0.15,< 0.15,< 0.15,0.056,< 0.15,0.2,0.26,< 0.15,< 0.15,< 0.15,0.24,< 0.15,0.17,< 0.15,0.049,< 0.15,0.25,0.27,0.41,0.14,0.43,0.4,< 0.15,0.78,0.42,< 0.15,0.94,< 0.038,< 0.15,< 0.15,< 0.15,< 0.15,0.18,< 0.15,0.2,< 0.15,< 0.15,< 0.15,< 0.11,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,0.2,1.9,< 0.15,0.16,2.1,< LOQ,5.5,< 0.35,1.1,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< 0.36,< 0.36,1.1,,Row 19 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1292,PS1953,Tissue - whole body,,Pacific herring,102,12.6,,Strawberry Point,48.32056,-122.51254,Tow #90,2005-07-14 00:00:00,2.034,wet,0,64.8140712403918,7.86829350729339,2.14522373347217,25.1724115188426,105.678173648666,0.48,0.46,0.3,< 0.15,0.24,0.19,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,0.41,< 0.15,0.42,< 0.15,< 0.15,0.066,0.16,0.27,0.25,< 0.15,0.21,0.17,0.59,0.23,0.29,0.19,0.12,0.3,0.89,0.95,1.5,0.37,1.3,0.95,0.27,2.2,1.4,0.4,2.9,< 0.037,0.16,0.16,< 0.15,0.19,0.37,0.2,0.57,< 0.15,< 0.15,< 0.15,< 0.11,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.15,< 0.14,0.52,3.2,0.25,0.84,4,0.76,18,< 0.35,2.8,0.82,< 0.35,< 0.35,0.9,0.58,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,5.1,,Row 20 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1293,PS1953,SRM 1974b,,,,,,,,,,,1.996,wet,1.08637081566738,32.4654125058571,16.0232303649146,33.7276322573943,16.6973540561664,109.445874095149,< 0.15,0.2,< 0.15,< 0.15,1.3,0.59,1.1,< 0.15,< 0.15,< 0.15,< 0.15,1.3,< 0.15,< 0.15,0.37,< 0.15,1.2,0.99,3.9,3,0.56,4,5.5,7.3,7.4,7.5,4.3,1.4,4.8,6.6,6.4,12,5,11,13,2.2,14,8.1,2,17,0.85,1.4,0.25,0.57,1.3,1.5,1.5,3.6,< 0.15,< 0.15,< 0.15,< 0.11,< 0.15,< 0.15,< 0.15,< 0.15,1.5,0.2,< 0.15,6.4,5.1,0.21,4.3,13,0.2,160,< 0.35,3.4,1,< 0.35,< 0.35,1.8,1.1,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,< 0.35,7.3,,Row 21 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1294,PS1953,SRM 1947,,,,,,,,,,,1.003,wet,0,95.4339148110394,0,0,4.56608518896056,109.735130992088,6.3,1.1,-9999,< 0.31,52,69,14,< 0.31,12,9.5,23,130,< 0.31,80,4.6,< 0.31,0.63,2.4,16,9.3,0.61,20,26,39,71,58,31,3.2,31,34,73,93,56,91,110,37,220,76,19,230,15,14,32,9.1,23,89,24,66,1.2,15,4.8,20,0.78,7,3.3,2.1,3.7,3.5,18,65,850,78,310,1000,1.1,1700,2.6,77,6.5,2.2,< 0.74,25,22,< 0.74,< 0.74,4.8,7.9,< 0.74,< 0.74,< 0.75,< 0.75,150,,Row 22 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1307,PS1954,Tissue - whole body,,Northern anchovy,128,17.2,,Protection Island,48.1278714,-122.9262842,Load 113 #1,2003-07-10 00:00:00,2.023,wet,1.51762148676572,2.75828997816847,39.6772970180093,29.255809259661,26.7909822573954,111.439238883191,< 0.17,< 0.18,< 0.18,< 0.17,< 0.17,< 0.17,< 0.18,< 0.17,< 0.17,< 0.17,< 0.17,0.22,< 0.17,< 0.17,< 0.17,< 0.17,< 0.043,< 0.17,< 0.17,< 0.13,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.043,< 0.17,0.17,0.2,0.4,0.14,0.31,0.35,< 0.17,0.77,0.46,< 0.17,1,< 0.043,< 0.17,< 0.17,< 0.17,< 0.17,0.37,< 0.17,0.33,< 0.17,< 0.17,< 0.17,< 0.13,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,0.39,5.2,0.24,0.22,5.8,< LOQ,4.6,< 0.40,0.43,< 0.40,< 0.40,< 0.40,< 0.40,< 0.40,< 0.40,< 0.40,< 0.40,< 0.41,< 0.41,< 0.41,< 0.41,< 0.41,0.43,,Row 23 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1308,PS1954,Tissue - whole body,,Northern anchovy,109,10.6,,Protection Island,48.1278714,-122.9262842,Load 113 #2,2003-07-10 00:00:00,2.013,wet,0,60.848641340334,21.9057578555555,5.40895448836328,11.8366463157471,113.109181417733,0.68,0.49,0.39,< 0.097,0.47,0.19,0.15,< 0.097,< 0.097,< 0.098,< 0.097,0.53,< 0.097,0.29,< 0.098,< 0.098,0.05,0.13,0.15,0.13,< 0.097,0.15,0.15,0.29,0.14,0.11,< 0.098,0.058,0.21,0.37,0.31,0.64,0.2,0.47,0.46,0.13,1.1,0.66,0.19,1.5,< 0.025,< 0.097,0.13,< 0.098,0.14,0.42,0.15,0.46,< 0.098,< 0.098,< 0.098,0.091,< 0.098,< 0.099,< 0.098,< 0.098,< 0.097,0.22,0.19,0.84,7.6,0.4,1.3,9.3,0.88,9,< 0.23,1.2,0.35,< 0.23,< 0.23,0.26,0.33,< 0.23,< 0.23,< 0.23,< 0.23,< 0.23,< 0.23,< 0.23,< 0.23,2.1,,Row 24 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1309,PS1954,Tissue - whole body,,Northern anchovy,123,21.2,,Destruction Island,47.6745219,-124.4854773,Load 31 #1,2005-07-13 00:00:00,2.022,wet,0,55.7919796944952,15.5671681963797,5.48694463884856,23.1539074702764,101.965316531104,0.42,0.64,0.5,< 0.12,0.23,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,0.3,< 0.12,0.2,< 0.12,< 0.12,0.057,0.14,0.14,0.15,< 0.12,0.12,0.13,0.21,< 0.12,< 0.12,< 0.12,0.031,0.16,0.25,0.22,0.48,0.17,0.39,0.38,< 0.12,0.75,0.48,0.14,1,< 0.030,< 0.12,0.12,< 0.12,< 0.12,0.31,< 0.12,0.3,< 0.12,< 0.12,< 0.12,0.1,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,0.66,4.7,0.3,0.53,5.7,1.1,6.3,< 0.28,0.54,0.32,< 0.28,< 0.28,< 0.28,0.31,< 0.28,< 0.28,< 0.28,< 0.28,< 0.28,< 0.28,< 0.28,< 0.28,1.2,,Row 25 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1310,PS1954,Tissue - whole body,,Northern anchovy,136,28.1,,Destruction Island,47.6745219,-124.4854773,Load 31 #2,2005-07-13 00:00:00,2.025,wet,0,52.6421991093165,17.7965666532269,3.32537459501554,26.2358596424409,108.292074707516,0.46,0.84,0.6,0.13,0.2,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,0.29,< 0.13,0.23,< 0.13,< 0.13,0.056,0.14,0.14,0.16,< 0.13,< 0.13,< 0.13,0.18,< 0.13,< 0.13,< 0.13,< 0.031,0.14,0.18,0.18,0.41,0.14,0.28,0.35,< 0.13,0.66,0.42,< 0.13,1,< 0.032,< 0.13,< 0.13,< 0.13,< 0.13,0.35,< 0.13,0.31,< 0.13,< 0.13,< 0.13,< 0.095,< 0.13,< 0.13,< 0.13,< 0.13,< 0.12,< 0.13,< 0.12,0.28,4.5,0.24,0.49,5,1.6,5.1,< 0.30,0.38,< 0.30,< 0.30,< 0.30,< 0.30,< 0.30,< 0.30,< 0.30,< 0.30,< 0.30,< 0.30,< 0.30,< 0.30,< 0.30,0.38,,Row 26 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
112-1311,PS1954,Tissue - whole body,,Northern anchovy,130,23.7,,Destruction Island,47.6745219,-124.4854773,Load 33 #1,2005-07-13 00:00:00,2.027,wet,0,52.5865687893679,20.568090428876,3.81102148639923,23.0343192953568,106.709868154879,0.79,1,0.68,< 0.14,0.34,< 0.15,< 0.15,< 0.14,< 0.14,< 0.15,< 0.14,0.32,< 0.14,0.37,< 0.15,< 0.15,0.064,0.17,0.18,0.18,< 0.14,0.16,0.16,0.27,< 0.14,< 0.14,< 0.15,0.04,0.17,0.25,0.21,0.41,0.14,0.35,0.35,< 0.15,0.64,0.39,< 0.15,0.82,< 0.037,< 0.14,< 0.14,< 0.15,< 0.15,0.23,< 0.14,0.24,< 0.15,< 0.15,< 0.15,< 0.11,< 0.15,< 0.15,< 0.15,< 0.15,< 0.14,< 0.14,< 0.14,0.98,3.9,0.32,0.65,5.2,1.7,5.5,< 0.34,0.52,< 0.34,< 0.34,< 0.34,< 0.34,< 0.34,< 0.34,< 0.34,< 0.34,< 0.34,< 0.34,< 0.34,< 0.35,< 0.35,0.52,,Row 27 of 121,Accessed on 2022-02-20 11:54:39,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants,"Bolton, Jennie; 02/21/2018. NOAA Fisheries Northwest Fisheries Science Center. POPs and stable isotopes in bird and forage fish tissues: Fish Persistent Organic Pollutants (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/fish_persistent_organic_pollutants)"
